Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,104.900002,105.879997,102.250000,102.589996,102.012192,9155300
2020-08-26,103.500000,104.589996,102.099998,104.080002,103.493805,6126300
2020-08-27,104.449997,107.199997,104.250000,106.860001,106.258148,6872500
2020-08-28,106.839996,108.199997,106.010002,107.860001,107.252518,5699400
2020-08-31,107.699997,108.720001,107.150002,107.470001,106.864716,4706200
2020-09-01,106.349998,107.529999,106.139999,107.519997,106.914429,3705600
2020-09-02,107.559998,109.150002,107.139999,108.779999,108.167336,4452200
2020-09-03,108.830002,109.160004,105.349998,106.150002,105.552147,5028100
2020-09-04,106.510002,107.750000,104.230003,105.739998,105.144455,5813100
2020-09-08,105.000000,105.550003,103.820000,104.580002,103.990990,5090900
2020-09-09,105.050003,107.349998,105.010002,106.660004,106.059280,5549200
2020-09-10,106.800003,107.139999,104.430000,104.779999,104.189857,3636900
2020-09-11,105.089996,105.489998,103.970001,104.769997,104.179916,2836700
2020-09-14,105.669998,107.639999,105.510002,106.970001,106.367531,4393500
2020-09-15,107.779999,108.690002,107.230003,107.570000,106.964149,3293600
2020-09-16,107.949997,108.559998,107.309998,107.489998,106.884598,3723800
2020-09-17,107.239998,107.889999,105.919998,107.809998,107.202797,3541900
2020-09-18,107.820000,109.239998,107.089996,107.599998,106.993980,6265900
2020-09-21,105.269997,105.699997,103.089996,104.800003,104.209755,4821300
2020-09-22,104.440002,105.190002,102.900002,104.349998,103.762283,3568700
2020-09-23,104.339996,104.779999,102.919998,102.980003,102.400002,5057800
2020-09-24,101.769997,102.169998,100.320000,101.269997,101.269997,5352400
2020-09-25,100.879997,103.650002,100.300003,103.160004,103.160004,3661900
2020-09-28,104.879997,105.389999,103.459999,103.629997,103.629997,3403200
2020-09-29,105.120003,105.239998,102.089996,102.690002,102.690002,4044500
2020-09-30,102.820000,104.870003,102.500000,103.919998,103.919998,6474400
2020-10-01,103.480003,104.949997,102.019997,102.300003,102.300003,5228200
2020-10-02,101.000000,103.110001,101.000000,101.959999,101.959999,4116000
2020-10-05,103.199997,104.120003,102.660004,103.709999,103.709999,2551000
2020-10-06,103.690002,105.330002,103.070000,103.379997,103.379997,2982500
2020-10-07,104.330002,106.309998,103.919998,105.660004,105.660004,3386000
2020-10-08,110.000000,110.000000,107.730003,107.800003,107.800003,5617000
2020-10-09,108.500000,109.059998,107.970001,108.680000,108.680000,2950900
2020-10-12,109.629997,109.940002,108.099998,109.059998,109.059998,2898900
2020-10-13,108.599998,108.959999,106.550003,106.940002,106.940002,3822800
2020-10-14,107.730003,109.559998,107.290001,107.559998,107.559998,3594700
2020-10-15,106.019997,108.220001,105.790001,107.519997,107.519997,3952600
2020-10-16,107.879997,111.040001,107.800003,110.129997,110.129997,6405600
2020-10-19,110.849998,111.580002,108.129997,108.480003,108.480003,5333600
2020-10-20,108.139999,110.430000,108.139999,109.150002,109.150002,3879400
2020-10-21,108.860001,110.330002,108.269997,109.230003,109.230003,3566900
2020-10-22,109.360001,112.199997,109.070000,111.839996,111.839996,4306800
2020-10-23,111.800003,112.480003,111.150002,111.419998,111.419998,3919000
2020-10-26,110.019997,110.279999,106.430000,107.930000,107.930000,5763800
2020-10-27,107.599998,108.070000,104.900002,105.209999,105.209999,5023200
2020-10-28,103.120003,104.239998,101.459999,102.589996,102.589996,7089600
2020-10-29,102.599998,103.050003,100.889999,101.370003,101.370003,4858200
2020-10-30,101.250000,101.500000,98.940002,100.570000,100.570000,5872300
2020-11-02,102.790001,102.980003,101.150002,102.430000,102.430000,5302700
2020-11-03,103.820000,105.190002,103.070000,103.129997,103.129997,3859200
2020-11-04,104.110001,105.150002,102.120003,102.459999,102.459999,6023200
2020-11-05,104.300003,105.019997,103.415001,104.010002,104.010002,3569576
